Freq.	V(out)
9.74374213160790e+002	2.67353192915741e+001,-2.27673040285088e+001
9.79757514345016e+002	2.66919928643976e+001,-2.27377974655616e+001
9.85140815529243e+002	2.66486804545317e+001,-2.27088632722590e+001
9.90524116713470e+002	2.66053808956092e+001,-2.26804889804006e+001
9.95907417897696e+002	2.65620930836792e+001,-2.26526623950744e+001
1.00129071908192e+003	2.65188159750562e+001,-2.26253715876352e+001
1.00667402026615e+003	2.64755485842369e+001,-2.25986048888358e+001
1.01205732145038e+003	2.64322899818923e+001,-2.25723508822360e+001
1.01744062263460e+003	2.63890392929358e+001,-2.25465983977672e+001
1.02282392381883e+003	2.63457956946527e+001,-2.25213365055184e+001
1.02820722500306e+003	2.63025584149055e+001,-2.24965545097113e+001
1.03359052618728e+003	2.62593267304013e+001,-2.24722419428537e+001
1.03897382737151e+003	2.62160999650089e+001,-2.24483885600559e+001
1.04435712855574e+003	2.61728774881409e+001,-2.24249843335610e+001
1.04974042973996e+003	2.61296587132117e+001,-2.24020194473812e+001
1.05512373092419e+003	2.60864430961035e+001,-2.23794842921460e+001
1.06050703210842e+003	2.60432301337311e+001,-2.23573694600597e+001
1.06589033329264e+003	2.60000193626307e+001,-2.23356657400374e+001
1.07127363447687e+003	2.59568103576015e+001,-2.23143641129765e+001
1.07665693566110e+003	2.59136027303960e+001,-2.22934557471497e+001
1.08204023684532e+003	2.58703961284512e+001,-2.22729319937571e+001
1.08742353802955e+003	2.58271902336590e+001,-2.22527843825823e+001
1.09280683921378e+003	2.57839847611950e+001,-2.22330046177930e+001
1.09819014039800e+003	2.57407794583588e+001,-2.22135845738487e+001
1.10357344158223e+003	2.56975741034759e+001,-2.21945162915218e+001
1.10895674276646e+003	2.56543685048211e+001,-2.21757919740419e+001
1.11434004395068e+003	2.56111624995888e+001,-2.21574039833431e+001
1.11972334513491e+003	2.55679559528830e+001,-2.21393448364199e+001
1.12510664631914e+003	2.55247487567567e+001,-2.21216072017744e+001
1.13048994750336e+003	2.54815408292647e+001,-2.21041838959678e+001
1.13587324868759e+003	2.54383321135609e+001,-2.20870678802735e+001
1.14125654987182e+003	2.53951225770135e+001,-2.20702522574019e+001
1.14663985105604e+003	2.53519122103626e+001,-2.20537302683342e+001
1.15202315224027e+003	2.53087010268832e+001,-2.20374952892407e+001
1.15740645342450e+003	2.52654890615958e+001,-2.20215408284603e+001
1.16278975460872e+003	2.52222763704934e+001,-2.20058605235926e+001
1.16817305579295e+003	2.51790630297897e+001,-2.19904481386366e+001
1.17355635697718e+003	2.51358491351856e+001,-2.19752975612331e+001
1.17893965816140e+003	2.50926348011800e+001,-2.19604027999619e+001
1.18432295934563e+003	2.50494201603819e+001,-2.19457579816996e+001
1.18970626052986e+003	2.50062053628433e+001,-2.19313573490887e+001
1.19508956171408e+003	2.49629905754313e+001,-2.19171952580123e+001
1.20047286289831e+003	2.49197759811937e+001,-2.19032661752037e+001
1.20585616408254e+003	2.48765617787746e+001,-2.18895646758465e+001
1.21123946526676e+003	2.48333481818087e+001,-2.18760854412840e+001
1.21662276645099e+003	2.47901354183725e+001,-2.18628232567831e+001
1.22200606763522e+003	2.47469237304303e+001,-2.18497730093212e+001
1.22738936881944e+003	2.47037133733039e+001,-2.18369296854656e+001
1.23277267000367e+003	2.46605046151452e+001,-2.18242883692945e+001
1.23815597118790e+003	2.46172977364523e+001,-2.18118442403639e+001
1.24353927237212e+003	2.45740930295706e+001,-2.17995925717236e+001
1.24892257355635e+003	2.45308907982282e+001,-2.17875287279995e+001
1.25430587474058e+003	2.44876913570695e+001,-2.17756481634948e+001
1.25968917592480e+003	2.44444950312230e+001,-2.17639464203689e+001
1.26507247710903e+003	2.44013021558645e+001,-2.17524191268363e+001
1.27045577829326e+003	2.43581130757903e+001,-2.17410619954218e+001
1.27583907947748e+003	2.43149281450296e+001,-2.17298708212520e+001
1.28122238066171e+003	2.42717477264321e+001,-2.17188414803900e+001
1.28660568184593e+003	2.42285721912968e+001,-2.17079699282086e+001
1.29198898303016e+003	2.41854019189982e+001,-2.16972521978104e+001
1.29737228421439e+003	2.41422372966154e+001,-2.16866843984668e+001
1.30275558539861e+003	2.40990787186009e+001,-2.16762627141143e+001
1.30813888658284e+003	2.40559265864222e+001,-2.16659834018710e+001
1.31352218776707e+003	2.40127813082456e+001,-2.16558427905960e+001
1.31890548895129e+003	2.39696432986013e+001,-2.16458372794780e+001
1.32428879013552e+003	2.39265129780855e+001,-2.16359633366573e+001
1.32967209131975e+003	2.38833907730486e+001,-2.16262174978819e+001
1.33505539250397e+003	2.38402771153075e+001,-2.16165963651899e+001
1.34043869368820e+003	2.37971724418554e+001,-2.16070966056367e+001
1.34582199487243e+003	2.37540771945847e+001,-2.15977149500094e+001
1.35120529605665e+003	2.37109918200246e+001,-2.15884481916376e+001
1.35658859724088e+003	2.36679167690700e+001,-2.15792931851592e+001
1.36197189842511e+003	2.36248524967328e+001,-2.15702468453707e+001
1.36735519960933e+003	2.35817994618981e+001,-2.15613061460668e+001
1.37273850079356e+003	2.35387581270756e+001,-2.15524681189240e+001
1.37812180197779e+003	2.34957289581734e+001,-2.15437298524014e+001
1.38350510316201e+003	2.34527124242730e+001,-2.15350884906709e+001
1.38888840434624e+003	2.34097089974032e+001,-2.15265412325603e+001
1.39427170553047e+003	2.33667191523348e+001,-2.15180853305331e+001
1.39965500671469e+003	2.33237433663667e+001,-2.15097180896829e+001
1.40503830789892e+003	2.32807821191222e+001,-2.15014368667461e+001
1.41042160908315e+003	2.32378358923689e+001,-2.14932390691445e+001
1.41580491026737e+003	2.31949051698096e+001,-2.14851221540485e+001
1.42118821145160e+003	2.31519904369091e+001,-2.14770836274333e+001
1.42657151263583e+003	2.31090921807122e+001,-2.14691210432075e+001
1.43195481382005e+003	2.30662108896706e+001,-2.14612320023149e+001
1.43733811500428e+003	2.30233470534687e+001,-2.14534141518624e+001
1.44272141618851e+003	2.29805011628712e+001,-2.14456651842877e+001
1.44810471737273e+003	2.29376737095509e+001,-2.14379828365254e+001
1.45348801855696e+003	2.28948651859415e+001,-2.14303648891933e+001
1.45887131974119e+003	2.28520760850866e+001,-2.14228091657982e+001
1.46425462092541e+003	2.28093069004888e+001,-2.14153135319639e+001
1.46963792210964e+003	2.27665581259763e+001,-2.14078758946519e+001
1.47502122329387e+003	2.27238302555612e+001,-2.14004942014353e+001
1.48040452447809e+003	2.26811237833032e+001,-2.13931664397556e+001
1.48578782566232e+003	2.26384392031862e+001,-2.13858906362015e+001
1.49117112684655e+003	2.25957770089877e+001,-2.13786648558132e+001
1.49655442803077e+003	2.25531376941619e+001,-2.13714872014010e+001
1.50193772921500e+003	2.25105217517125e+001,-2.13643558128457e+001
1.50732103039923e+003	2.24679296740963e+001,-2.13572688664632e+001
1.51270433158345e+003	2.24253619530829e+001,-2.13502245743413e+001
1.51808763276768e+003	2.23828190796760e+001,-2.13432211837094e+001
1.52347093395191e+003	2.23403015439948e+001,-2.13362569763164e+001
1.52885423513613e+003	2.22978098351676e+001,-2.13293302678130e+001
1.53423753632036e+003	2.22553444412503e+001,-2.13224394071576e+001
1.53962083750459e+003	2.22129058491111e+001,-2.13155827760295e+001
1.54500413868881e+003	2.21704945443546e+001,-2.13087587882514e+001
1.55038743987304e+003	2.21281110112222e+001,-2.13019658892268e+001
1.55577074105727e+003	2.20857557325098e+001,-2.12952025553725e+001
1.56115404224149e+003	2.20434291894850e+001,-2.12884672935998e+001
1.56653734342572e+003	2.20011318618002e+001,-2.12817586407596e+001
1.57192064460995e+003	2.19588642274200e+001,-2.12750751631268e+001
1.57730394579417e+003	2.19166267625440e+001,-2.12684154558880e+001
1.58268724697840e+003	2.18744199415271e+001,-2.12617781426388e+001
1.58807054816263e+003	2.18322442368168e+001,-2.12551618748833e+001
1.59345384934685e+003	2.17901001188805e+001,-2.12485653315576e+001
1.59883715053108e+003	2.17479880561338e+001,-2.12419872185512e+001
1.60422045171531e+003	2.17059085148894e+001,-2.12354262682343e+001
1.60960375289953e+003	2.16638619592788e+001,-2.12288812390065e+001
1.61498705408376e+003	2.16218488512045e+001,-2.12223509148416e+001
1.62037035526799e+003	2.15798696502769e+001,-2.12158341048512e+001
1.62575365645221e+003	2.15379248137567e+001,-2.12093296428501e+001
1.63113695763644e+003	2.14960147965052e+001,-2.12028363869231e+001
1.63652025882067e+003	2.14541400509290e+001,-2.11963532190154e+001
1.64190356000489e+003	2.14123010269330e+001,-2.11898790445190e+001
1.64728686118912e+003	2.13704981718672e+001,-2.11834127918783e+001
1.65267016237335e+003	2.13287319304824e+001,-2.11769534121704e+001
1.65805346355757e+003	2.12870027448890e+001,-2.11704998787509e+001
1.66343676474180e+003	2.12453110545093e+001,-2.11640511868372e+001
1.66882006592603e+003	2.12036572960342e+001,-2.11576063531622e+001
1.67420336711025e+003	2.11620419033926e+001,-2.11511644155883e+001
1.67958666829448e+003	2.11204653077011e+001,-2.11447244327534e+001
1.68496996947871e+003	2.10789279372369e+001,-2.11382854837164e+001
1.69035327066293e+003	2.10374302173950e+001,-2.11318466675984e+001
1.69573657184716e+003	2.09959725706640e+001,-2.11254071032635e+001
1.70111987303139e+003	2.09545554165812e+001,-2.11189659289429e+001
1.70650317421561e+003	2.09131791717142e+001,-2.11125223019458e+001
1.71188647539984e+003	2.08718442496236e+001,-2.11060753983073e+001
1.71726977658407e+003	2.08305510608346e+001,-2.10996244124789e+001
1.72265307776829e+003	2.07893000128127e+001,-2.10931685570061e+001
